X,Y,Permafrost,elev,aspect,slope,temp,TDD,FDD,NDSI,NDVI,litho
2551748.61094346,1137372.58447546,0,561.261962890625,26.0682907104492,16.8729496002197,9.25,3702.7470703125,119.341339111328,-0.377387523651123,0.684076189994812,2
2555106.51996149,1136348.03212467,0,474.370239257812,55.1405029296875,11.0947618484497,8.79999923706055,3716.125,139.561111450195,-0.46343857049942,0.753728270530701,1
2599958.33141449,1135414.76711162,1,2592.1591796875,315.377777099609,29.897985458374,-1.36625003814697,1546.96276855469,1663.52087402344,0.855883181095123,-0.199001327157021,2
2599993.34509858,1135303.78033967,1,2639.61206054688,301.215148925781,32.2912139892578,-1.39999997615814,1585.24877929688,1628.15234375,0.637019693851471,-0.187776476144791,2
2600275.80766511,1135638.4524619,1,2611.11010742188,320.681854248047,18.1246242523193,-1.8512499332428,1444.93054199219,1812.65734863281,0.550023674964905,-0.153552174568176,2
2600164.80084295,1135577.90513286,1,2597.74975585938,325.030883789062,26.7918815612793,-1.7731249332428,1477.43200683594,1763.94458007812,0.629746794700623,-0.194740206003189,2
2559568.79642419,1110221.61741118,1,2460.1904296875,322.914459228516,25.7626876831055,-0.947812497615814,1617.20324707031,1514.16259765625,0.855320036411285,-0.19109283387661,2
2574960.32454261,1101452.77737965,0,2072.96948242188,61.526008605957,13.3104400634766,1.85874998569489,2483.19018554688,645.761047363281,0.00790389254689217,0.134732514619827,3
2574784.73077822,1101432.65726086,1,2110.2763671875,18.2718276977539,8.08736896514893,1.46843755245209,2474.18090820312,651.578491210938,-0.0593442805111408,0.0544081404805183,3
2580959.83716053,1121176.21552733,1,2663.13818359375,324.217895507812,33.3643379211426,-1.1287499666214,1435.59216308594,1471.41906738281,0.163579896092415,-0.111907161772251,2
2581025.54227775,1121254.65419434,1,2633.32202148438,343.672058105469,35.4776458740234,-1.14374995231628,1430.4404296875,1482.41088867188,0.15844002366066,-0.122737914323807,2
2581404.85463246,1121937.23489004,1,2451.32006835938,324.336517333984,28.3687686920166,-0.379999995231628,1288.04504394531,1624.56823730469,0.172260984778404,-0.127098083496094,2
2581533.82002538,1121969.01783039,1,2470.71630859375,323.257110595703,33.458381652832,-0.317187488079071,1278.02075195312,1636.68395996094,0.183853313326836,-0.111510999500751,2
2581574.77112168,1122038.08460473,1,2449.78076171875,326.975738525391,33.9236717224121,-0.153125002980232,1255.51794433594,1656.04345703125,0.118834353983402,-0.120197221636772,2
2581434.97664056,1121798.78597374,1,2520.73266601562,328.722595214844,34.8852081298828,-0.697499990463257,1326.93359375,1593.6611328125,0.210022643208504,-0.131629228591919,2
2591177.96417947,1130556.65981226,0,2535.25317382812,280.942565917969,8.40184879302979,-1.51625001430511,1562.91235351562,1512.01831054688,0.564778864383698,-0.00506960833445191,2
2593022.11185857,1132248.06154704,1,2525.7822265625,230.420791625977,28.2812423706055,-2.25,1139.36474609375,1978.12268066406,0.543608009815216,-0.00314529077149928,1
2591033.35361085,1132185.48004724,1,2704.70556640625,171.192947387695,16.8317184448242,-3.00437498092651,1398.93579101562,1861.40661621094,0.523585379123688,-0.00926904007792473,1
2590533.9723145,1131501.59768295,1,2597.8701171875,117.500679016113,12.9316434860229,-2.47531247138977,1445.58288574219,1729.98693847656,0.509371280670166,0.0125106517225504,2
2590706.52602973,1131180.18392635,1,2549.69946289062,301.165832519531,30.3104610443115,-2.03999996185303,1416.6826171875,1696.28186035156,0.600820958614349,-0.143417999148369,2
2590605.02717052,1131128.9295256,1,2516.60327148438,290.922912597656,24.2613315582275,-2.0625,1441.44201660156,1673.12939453125,0.493457734584808,-0.068200372159481,2
2590589.89993821,1131031.90658712,1,2540.75903320312,295.594848632812,26.0476417541504,-1.9724999666214,1464.42004394531,1643.64123535156,0.223543211817741,-0.0155015615746379,2
2590032.52232616,1130570.64695349,0,2365.57373046875,288.116729736328,14.646092414856,-0.40531250834465,1760.72082519531,1424.9716796875,0.272995382547379,0.14641435444355,2
2590196.73682398,1132029.44907688,1,2623.748046875,283.6767578125,25.6944313049316,-2.26749992370605,1492.86315917969,1757.70263671875,0.376587450504303,-0.0163295492529869,1
2589653.31314917,1132306.3808974,0,2375.314453125,271.882019042969,13.2683019638062,-0.920000016689301,1644.35632324219,1655.81591796875,0.305239528417587,0.208627820014954,1
2588099.98617364,1132155.10298171,0,2247.07934570312,142.834762573242,16.494722366333,0.399999976158142,1703.40686035156,1589.10363769531,0.112260520458221,0.337659180164337,1
2589361.35029763,1134425.04243205,0,2065.125,287.901123046875,23.3585319519043,0.904375016689301,1707.00952148438,1511.73815917969,0.167643070220947,0.0916007235646248,2
2590957.94028777,1132164.18333476,1,2714.1484375,151.38883972168,19.2474117279053,-3.02874994277954,1398.93579101562,1861.40686035156,0.528307557106018,-0.0128941489383578,1
2550672.24193074,1133977.7167074,0,1752.17578125,320.504760742188,15.9316024780273,3.78375005722046,2458.0556640625,757.651916503906,-0.241386830806732,0.303401917219162,2
2550482.69483439,1134048.68015235,0,1671.77722167969,277.157287597656,3.59690451622009,4.09999990463257,2498.1103515625,739.838623046875,-0.227054864168167,0.476752370595932,2
2551379.76103104,1130609.7157702,0,1616.79455566406,32.5370025634766,19.1153144836426,2.97500014305115,2803.458984375,677.159118652344,-0.180710166692734,0.361000150442123,2
2556986.48141392,1123557.68329556,0,1729.91796875,37.9753570556641,11.1128025054932,3.05250000953674,2657.28857421875,580.031982421875,-0.155497446656227,0.67499303817749,2
2557148.65861739,1124571.82010591,0,1583.79968261719,329.911193847656,8.96728515625,3.74499988555908,2830.52075195312,477.974945068359,-0.162496194243431,0.682105481624603,2
2557204.21742007,1124856.99547534,0,1533.28393554688,291.596984863281,16.6852588653564,3.88000011444092,2893.0380859375,454.411956787109,-0.190047100186348,0.711585462093353,2
2557563.85334756,1123402.02631797,0,1858.98840332031,66.6638031005859,4.79902744293213,3,2664.34790039062,566.543762207031,-0.0678696781396866,0.340014308691025,2
2557635.59515147,1123881.58666318,0,1769.96948242188,108.006996154785,22.9971618652344,3.09375,2717.796875,522.842102050781,0.0902922824025154,0.336343705654144,2
2557855.52115801,1123975.01412234,0,1732.66748046875,43.1684150695801,2.77994275093079,3.33249998092651,2746.830078125,506.906372070312,-0.178852036595345,0.651525318622589,2
2558932.36405872,1122690.17372607,0,1570.58264160156,25.2182159423828,17.2098751068115,3.84999990463257,3135.57153320312,422.467529296875,-0.363744735717773,0.813213646411896,2
2555913.66200103,1120315.08045275,0,1514.58947753906,340.831756591797,27.7515888214111,4.65000009536743,2887.8173828125,514.754333496094,-0.32766318321228,0.822832345962524,2
2555440.30493472,1127356.69269865,0,1533.78491210938,331.578308105469,5.57985162734985,4.61499977111816,2845.525390625,541.321594238281,-0.223851799964905,0.745198547840118,2
2552675.47131055,1129991.48176491,0,1654.43273925781,173.318786621094,10.8746204376221,4,2865.5703125,574.200622558594,-0.168864548206329,0.6324462890625,2
2581842.02649805,1097316.30287161,1,2255.5556640625,54.6494331359863,16.9000720977783,0.025000000372529,2283.42651367188,1143.76147460938,0.217180043458939,0.0861294269561768,3
2581889.46896321,1097596.6569687,0,2213.0048828125,100.202842712402,19.7671298980713,0.270000010728836,2265.14624023438,1167.78173828125,0.156529679894447,0.197078093886375,3
2581837.76063261,1096828.16595783,1,2370.97778320312,42.012020111084,26.8928470611572,0.025000000372529,2288.14331054688,1121.73742675781,0.252485901117325,0.0826554819941521,1
2581747.97431728,1096548.24391576,0,2457.53588867188,85.2513732910156,25.7013072967529,-0.125,2289.97973632812,1096.85119628906,0.223448276519775,0.112036265432835,3
2583068.76758276,1095660.74072068,1,2661.61450195312,1.77824401855469,32.0767097473145,-2.23187494277954,2012.28796386719,1456.27966308594,0.194718390703201,-0.0563979558646679,3
2583867.97412913,1097207.48944017,0,2185.35473632812,338.1083984375,18.9141654968262,1.20000004768372,2054.58325195312,1346.7724609375,0.0166731793433428,0.152580454945564,1
2581159.75883923,1098865.62465361,0,2192.84057617188,4.00968933105469,24.8228168487549,1.48749995231628,2251.96142578125,1029.63952636719,0.0705749019980431,0.230277106165886,1
2581379.68791356,1098982.63125456,0,2152.70849609375,357.129089355469,23.4665851593018,1.83124995231628,2245.19921875,1034.00817871094,0.0864739716053009,0.129778444766998,1
2583396.06556241,1094329.36178987,1,2524.50512695312,321.712524414062,20.2685737609863,-2.11625003814697,2077.97387695312,1418.80810546875,0.153503820300102,-0.032321996986866,3
2584974.75184831,1096305.47327365,1,2643.36254882812,20.1781539916992,7.84935665130615,-2.22499990463257,1582.58801269531,1936.45471191406,0.366731762886047,-0.072223998606205,3
2584766.74011311,1095927.72974071,1,2721.63330078125,324.531005859375,30.5566101074219,-2.79999995231628,1546.10046386719,2008.1005859375,0.631244659423828,-0.097384512424469,3
2584695.95834205,1095906.78411463,1,2702.52734375,335.589416503906,24.6244049072266,-2.90000009536743,1548.39123535156,2005.35021972656,0.76526927947998,-0.113293364644051,3
